OBJECTID,AIRPORTID,FACILITY,MAPLABEL,CITY,COUNTY,FNCTNLCLSS,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,F5010URL,SHAPE_Length,SHAPE_Area
1,SCK,STOCKTON METROPOLITAN AIRPORT,STOCKTON METROPOLITAN,Stockton,San Joaquin,Commercial/Primary,PRIMARY-NON HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02314.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=SCK,15098.5899926053,10276226.1507864
2,UDD,BERMUDA DUNES EXECUTIVE AIRPORT,BERMUDA DUNES,Palm Springs,Riverside,Regional,REGIONAL,Not a NPIAS Facility,02017.1*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=UDD,5370.36847285051,507751.671589519
3,0O2,BAKER AIRPORT,BAKER,Baker,San Bernardino,Limited Use,LIMITED USE,Not a NPIAS Facility,01286.1*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=0O2,5827.27629868211,1458117.84561908
4,0O4,CORNING MUNICIPAL AIRPORT,CORNING MUNI,Corning,Tehama,Community,COMMUNITY,General Aviation,01443.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=0O4,5255.33523641519,620437.791924975
5,TRM,JACQUELINE COCHRAN REGIONAL AIRPORT,JACQUELINE COCHRAN REGIONAL,Thermal,Riverside,Regional,REGIONAL-Business/Corporate,General Aviation,02017.2*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=TRM,15357.1640848049,10829313.7910997
6,1C9,FRAZIER LAKE AIRPARK,FRAZIER LAKE AIRPARK,Hollister,San Benito,Community,COMMUNITY,Not a NPIAS Facility,01668.11*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=1C9,4963.59013971818,984661.657532867
7,TVL,LAKE TAHOE AIRPORT,LAKE TAHOE,South Lake Tahoe,El Dorado,Regional,REGIONAL-Business/Corporate,General Aviation,02303.7*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=TVL,9648.87318056386,2325065.72059699
8,1O2,LAMPSON FIELD AIRPORT,LAMPSON FIELD,Lakeport,Lake,Regional,REGIONAL,General Aviation,01743.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=1O2,4774.12632027506,514331.389870527
9,1O3,LODI AIRPORT,LODI,Lodi,San Joaquin,Limited Use,LIMITED USE-Agriculture,Not a NPIAS Facility,01782.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=1O3,4925.71451835713,1039408.14702058
10,1O5,"MONTAGUE-YREKA, ROHRER FIELD",MONTAGUE-YREKA,Montague,Siskiyou,Community,COMMUNITY,Not a NPIAS Facility,01905.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=1O5,5221.17396740875,827089.12547719
11,VCB,NUT TREE AIRPORT,NUT TREE,Vacaville,Solano,Regional,REGIONAL-Business/Corporate,General Aviation,02389.1*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=VCB,7330.49359346951,1730494.6818225
12,0Q4,SELMA AIRPORT,SELMA,Selma,Fresno,Community,COMMUNITY-Recreation,Not a NPIAS Facility,02287.2*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=0Q4,3162.19406846439,147473.069590793
13,0Q5,SHELTER COVE AIRPORT,SHELTER COVE,Shelter Cove,Humboldt,Community,COMMUNITY,General Aviation,02294.4*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=0Q5,3743.27330677716,374991.783955928
14,0Q9,SONOMA SKYPARK AIRPORT,SONOMA SKYPARK,Sonoma,Sonoma,Community,COMMUNITY,Not a NPIAS Facility,02299.8*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=0Q9,2979.3082248827,232605.490901902
15,0Q3,SONOMA VALLEY AIRPORT,SONOMA VALLEY,Schellville/Sonoma,Sonoma,Community,COMMUNITY,Not a NPIAS Facility,02281.6*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=0Q3,6851.76256211485,550531.253929928
16,TSP,TEHACHAPI MUNICIPAL AIRPORT,TEHACHAPI MUNI,Tehachapi,Kern,Regional,REGIONAL-Business/Corporate,General Aviation,02341.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=TSP,5549.91282311607,1383527.66526936
17,TRK,TRUCKEE-TAHOE AIRPORT,TRUCKEE - TAHOE,Truckee,Nevada,Regional,REGIONAL-Business/Corporate,General Aviation,02366.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=TRK,12403.3644162842,2854651.27343819
18,TNP,TWENTYNINE PALMS AIRPORT,TWENTYNINE PALMS,Twentynine Palms,San Bernardino,Regional,REGIONAL,General Aviation,02379.2*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=TNP,10028.566293301,2002380.54089875
19,UKI,UKIAH MUNICIPAL AIRPORT,UKIAH MUNI,Ukiah,Mendocino,Regional,REGIONAL-Business/Corporate,General Aviation,02383.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=UKI,6660.33069183526,1066996.64802801
20,VNY,VAN NUYS AIRPORT,VAN NUYS,Van Nuys,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,02396.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=VNY,10896.045111423,4373702.3297445
21,0O9,WARD FIELD AIRPORT,WARD FIELD,Gasquet,Del Norte,Community,COMMUNITY,Not a NPIAS Facility,01606.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=0O9,3077.03529581386,152176.750495372
22,WVI,WATSONVILLE MUNICIPAL AIRPORT,WATSONVILLE MUNI,Watsonville,Santa Cruz,Regional,REGIONAL-Business/Corporate,General Aviation,02429.*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=WVI,7481.00522655095,1969687.86368705
23,WHP,WHITEMAN AIRPORT,WHITEMAN,Los Angeles,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01818.1*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=WHP,5695.69249752478,1081812.52266564
24,WJF,GENERAL WILLIAM M FOX AIRPORT,GEN. WILLIAM M. FOX,Lancaster,Los Angeles,Regional,REGIONAL-Business/Corporate,General Aviation,01754.2*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=WJF,12615.502964563,7311415.70135054
25,WLW,WILLOWS - GLENN COUNTY AIRPORT,WILLOWS,Willows,Glenn,Community,COMMUNITY,General Aviation,02461.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=WLW,6414.46062559773,2035962.0183834
26,TOA,ZAMPERINI FIELD AIRPORT,ZAMPERINI FIELD,Torrance,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,General Aviation,02356.1*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=TOA,7240.4402032649,2606251.16437999
27,A24,CALIFORNIA PINES AIRPORT,CALIFORNIA PINES,Alturas,Modoc,Limited Use,LIMITED USE,Not a NPIAS Facility,01234.12*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=A24,5275.92475759867,428205.310362116
28,STS,"CHARLES M. SCHULZ, SONOMA COUNTY AIRPORT",CHARLES M. SCHULZ,Santa Rosa,Sonoma,Commercial/Primary,PRIMARY-NON-HUB-REGIONAL-Business/Corporate,Commercial Service Primar,02260.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=STS,10492.5438818369,6306998.56450917
29,49X,CHEMEHUEVI VALLEY AIRPORT,CHEMEHUEVI VALLEY,Chemehuevi,San Bernardino,Limited Use,LIMITED USE,General Aviation,01390.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=49X,6559.44876825123,1239864.20933105
30,2O6,CHOWCHILLA AIRPORT,CHOWCHILLA,Chowchilla,Madera,Community,COMMUNITY,General Aviation,01400.5*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=2O6,4682.32748693767,573035.034865735
31,1Q1,ECKERT FIELD AIRPORT,ECKERT FIELD,Strathmore,Tulare,Community,COMMUNITY-Recreation,Not a NPIAS Facility,02321.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=1Q1,2372.11202042679,165663.763979749
32,2O1,GANSNER AIRPORT,GANSNER,Quincy,Plumas,Community,COMMUNITY,General Aviation,02074.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=2O1,4801.15379276833,604803.644938549
33,1Q5,GRAVELLY VALLEY AIRPORT,GRAVELLY VALLEY,Upper Lake,Lake,Limited Use,LIMITED USE-Recreation,Not a NPIAS Facility,02387.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=1Q5,4732.70092300536,341188.846206937
34,3O1,GUSTINE AIRPORT,GUSTINE,Gustine,Merced,Community,COMMUNITY-Agriculture,General Aviation,01636.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=3O1,4502.11677362279,574198.595313419
35,36S,HAPPY CAMP AIRPORT,HAPPY CAMP,Happy Camp,Siskiyou,Community,COMMUNITY,General Aviation,01645.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=36S,4309.91178966457,463624.060287175
36,3O8,HARRIS RANCH AIRPORT,HARRIS RANCH,Coalinga,Fresno,Limited Use,LIMITED USE,Not a NPIAS Facility,01419.12*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=3O8,4418.66463343938,499039.365089225
37,CVH,HOLLISTER MUNICIPAL AIRPORT,HOLLISTER MUNI,Hollister,San Benito,Regional,REGIONAL,General Aviation,01668.*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=CVH,10956.8472621034,2303209.10432092
38,2O7,INDEPENDENCE AIRPORT,INDEPENDENCE,Independence,Inyo,Community,COMMUNITY,General Aviation,01686.*A,9,http://www.gcr1.com/5010web/airport.cfm?Site=2O7,4754.16173695859,780475.983667835
39,TLR,MEFFORD FIELD AIRPORT,MEFFORD FIELD,Tulare,Tulare,Regional,REGIONAL,General Aviation,02371.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=TLR,5382.45579462817,1279005.41619123
40,1Q4,NEW JERUSALEM AIRPORT,NEW JERUSALEM,Tracy,San Joaquin,Limited Use,LIMITED USE,Not a NPIAS Facility,02358.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=1Q4,6589.10749164796,2546892.04387719
41,2O3,PARRETT FIELD AIRPORT,PARRETT FIELD,Angwin,Napa,Community,COMMUNITY,Not a NPIAS Facility,01244.8*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=2O3,4875.75740584074,399053.025408472
