X,Y,OBJECTID,FACILITY,MAPLABEL,AIRPORTID,CITY,COUNTY,FNCTNLCLSS,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,MANAGER,MNGREMAIL,PHONE,F5010URL,LATDD,LONGDD,LATDMS,PMTLAT,LONGDMS,ARPLATDMS,ARPLONGDMS,PMTLONG
-12922117.9971,4202853.557,11,BAKER AIRPORT,BAKER,0O2,Baker,San Bernardino,Limited Use,LIMITED USE,Not a NPIAS Facility,01286.1*A,8,Maureen Snelgrove,Maureen.Snelgrove@airports.sbcounty.gov,909-387-2591,http://www.gcr1.com/5010web/airport.cfm?Site=0O2,35.286278,-116.081361,35-17-07.931N,35-17-08N,116-04-57.048W,35-17-10.6000N,116-04-52.9000W,116-04-57W
-13246577.2434,4208116.5614,12,BAKERSFIELD MUNICIPAL AIRPORT,BAKERSFIELD MUNI,L45,Bakersfield,Kern,Regional,REGIONAL,General Aviation,01289.1*A,6,Stuart Patteson,spatteson@bakersfieldcity.us,661-326-3575,http://www.gcr1.com/5010web/airport.cfm?Site=L45,35.324861,-118.996028,35-19-29.400N,35-19-29N,118-59-45.000W,35-19-29.5000N,118-59-45.7000W,118-59-45W
-13007741.2759,4018411.5455,13,BANNING MUNICIPAL AIRPORT,BANNING MUNI,BNG,Banning,Riverside,Community,COMMUNITY,General Aviation,01297.*A,8,Carl Szoyka,cszoyka@ci.banning.ca.us,951-922-3286,http://www.gcr1.com/5010web/airport.cfm?Site=BNG,33.922583,-116.850528,33-55-23.056N,33-55-23N,116-51-02.072W,33-55-21.2000N,116-51-03.5000W,116-51-02W
-13000635.3075,4144020.2734,14,BARSTOW-DAGGETT AIRPORT,BARSTOW-DAGGETT,DAG,Daggett,San Bernardino,Regional,REGIONAL,General Aviation,01479.*A,8,Maureen Snelgrove,Maureen.Snelgrove@airports.sbcounty.gov,909-387-2591,http://www.gcr1.com/5010web/airport.cfm?Site=DAG,34.853722,-116.786694,34-51-13.368N,34-51-13N,116-47-12.075W,34-51-13.4000N,116-47-12.1000W,116-47-12W
-13626334.3353,4949740.9101,15,BENTON FIELD,BENTON FIELD,O85,Redding,Shasta,Regional,REGIONAL,General Aviation,02088.*A,2,Bryant Garrett,bgarrett@cityofredding.org,530-224-4321,http://www.gcr1.com/5010web/airport.cfm?Site=O85,40.574222,-122.407444,40-34-29.542N,40-34-27N,122-24-29.031W,40-34-27.2000N,122-24-26.8000W,122-24-26W
-12943652.9752,3995073.2066,16,BERMUDA DUNES EXECUTIVE AIRPORT,BERMUDA DUNES,UDD,Palm Springs,Riverside,Regional,REGIONAL,Not a NPIAS Facility,02017.1*A,8,Ann Goodwyn,agoodwyn@bermudadunesairport.org,760-345-2558,http://www.gcr1.com/5010web/airport.cfm?Site=UDD,33.748438,-116.274813,33-44-54.375N,33-44-54N,116-16-29.328W,33-44-54.3750N,116-16-29.3280W,116-16-29W
-13008353.5331,4064276.1997,17,BIG BEAR CITY AIRPORT,BIG BEAR CITY,L35,Big Bear City,San Bernardino,Regional,REGIONAL,General Aviation,01323.*A,8,Ryan Goss,Ryan.Goss@bigbearcityairport.com,909-585-3219,http://www.gcr1.com/5010web/airport.cfm?Site=L35,34.263778,-116.856028,34-15-49.030N,34-15-49N,116-51-16.110W,34-15-49.6000N,116-51-21.7000W,116-51-16W
-13176176.905,4491242.0407,18,BISHOP AIRPORT,BISHOP AIRPORT,BIH,Bishop,Inyo,Regional,REGIONAL-Business/Corporate,General Aviation,01327.*A,9,Mike Eerrante,mearrante@inyocounty.us,760-878-0205,http://www.gcr1.com/5010web/airport.cfm?Site=BIH,37.373111,-118.363611,37-22-23.144N,37-22-23N,118-21-48.992W,37-22-23.2000N,118-21-49.0000W,118-21-49W
-13437347.9037,4761135.8384,19,BLUE CANYON AIRPORT,BLUE CANYON,BLU,Emigrant Gap,Placer,Limited Use,LIMITED USE-Firefighting,Not a NPIAS Facility,01548.*A,3,John Weber,jweber@placer.ca.gov,530-745-7564,http://www.gcr1.com/5010web/airport.cfm?Site=BLU,39.274972,-120.70975,39-16-29.640N,39-16-30N,120-42-33.765W,39-16-29.9000N,120-42-35.1000W,120-42-34W
-12770225.6689,3977779.3736,20,BLYTHE AIRPORT,BLYTHE,BLH,Blythe,Riverside,Community,COMMUNITY,General Aviation,01336.*A,8,Liliana Valle,lvalle@rivco.org,951-955-9418,http://www.gcr1.com/5010web/airport.cfm?Site=BLH,33.619167,-114.716889,33-37-08.986N,33-37-09N,114-43-00.755W,33-37-09.0000N,114-43-00.8000W,114-43-01W
-13175626.5414,4055778.6331,21,BOB HOPE AIRPORT,BOB HOPE -139,BUR,Burbank,Los Angeles,Commercial/Primary,PRIMARY-MEDIUM HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01353.*A,7,Dan Ferger,dferger@bur.org,818-729-2228,http://www.gcr1.com/5010web/airport.cfm?Site=BUR,34.200667,-118.358667,34-12-02.400N,34-12-02N,118-21-31.200W,34-12-02.4000N,118-21-31.2000W,118-21-31W
-13063510.1144,3924272.5013,22,BOB MAXWELL MEMORIAL AIRFIELD,BOB MAXWELL MEMORIAL,OKB,Oceanside,San Diego,Regional,REGIONAL,General Aviation,01975.1*A,11,Dennis Easto,dennis.easto@oceansidemunicipalairport.com,760-901-4260,http://www.gcr1.com/5010web/airport.cfm?Site=OKB,33.217976,-117.351508,33-13-04.715N,33-13-05N,117-21-05.427W,33-13-04.7150N,117-21-05.4270W,117-21-05W
-13734805.9396,4723665.2595,23,BOONVILLE AIRPORT,BOONVILLE,D83,Boonville,Mendocino,Community,COMMUNITY,General Aviation,01340.25*A,1,Kirk Wilder,kewcbw@gmail.com,707-895-2949,http://www.gcr1.com/5010web/airport.cfm?Site=D83,39.013917,-123.381861,39-00-50.2301N,39-00-50N,123-22-53.5917W,39-00-50.2301N,123-22-53.5917W,123-22-54W
-12948791.3716,3929736.2852,24,BORREGO VALLEY AIRPORT,BORREGO VALLEY,L08,Borrego Springs,San Diego,Community,COMMUNITY,General Aviation,01340.3*A,11,Viki Cole,vcole@uia.net,760-767-7415,http://www.gcr1.com/5010web/airport.cfm?Site=L08,33.259028,-116.320972,33-15-32.500N,33-15-33N,116-19-15.500W,33-15-32.5000N,116-19-15.5000W,116-19-16W
-13111407.7743,4041114.762,25,BRACKETT FIELD AIRPORT,BRACKETT FIELD,POC,La Verne,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01757.*A,7,Pete Loncteaux,ploncteaux@americanairports.net,909-593-1396,http://www.gcr1.com/5010web/airport.cfm?Site=POC,34.091648,-117.78178,34-05-29.934N,34-05-30N,117-46-54.409W,34-05-29.9340N,117-46-54.4090W,117-46-54W
-12859281.2615,3894367.4349,26,BRAWLEY MUNICIPAL AIRPORT,BRAWLEY MUNI,BWC,Brawley,Imperial,Community,COMMUNITY,General Aviation,01342.*A,11,Alan Chan,achan@brawley-ca.gov,760-344-5800 x18,http://www.gcr1.com/5010web/airport.cfm?Site=BWC,32.992944,-115.516889,32-59-35.160N,32-59-35N,115-31-00.957W,32-59-34.6000N,115-31-00.8000W,115-31-01W
-13022171.9554,3838666.8774,27,BROWN FIELD,BROWN FIELD,SDM,San Diego,San Diego,Regional,REGIONAL-Business/Corporate,Reliever,02180.*A,11,Andy Schwartz,ASchwartz@sandiego.gov,619-424-0456 Ops,http://www.gcr1.com/5010web/airport.cfm?Site=SDM,32.572272,-116.980161,32-34-20.300N,32-34-20N,116-58-48.900W,32-34-20.1800N,116-58-48.5800W,116-58-49W
-13271812.704,4616803.3182,28,BRYANT FIELD AIRPORT,BRYANT FIELD,O57,Bridgeport,Mono,Community,COMMUNITY-Recreation,General Aviation,01346.*A,9,Garrett Higerd,ghigerd@mono.ca.gov,760-932-5457,http://www.gcr1.com/5010web/airport.cfm?Site=O57,38.264111,-119.222722,38-15-44.709N,38-15-45N,119-13-32.554W,38-15-50.9000N,119-13-21.8000W,119-13-33W
-13587310.7313,4577966.2093,29,BUCHANAN FIELD AIRPORT,BUCHANAN FIELD -139,CCR,Concord,Contra Costa,Commercial/Primary,PRIMARY-NON HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,01437.*A,4,Keith Freitas,kfrei@airport.cccounty.us,925-681-4200,http://www.gcr1.com/5010web/airport.cfm?Site=CCR,37.989667,-122.056889,37-59-22.763N,37-59-23N,122-03-24.830W,37-59-22.8000N,122-03-24.8000W,122-03-25W
-13578261.0133,5144102.8819,30,BUTTE VALLEY AIRPORT,BUTTE VALLEY,A32,Dorris,Siskiyou,Limited Use,LIMITED USE-Agriculture,General Aviation,01512.*A,2,Millisa Cummins,mcummins@co.siskiyou.ca.us,530-842-8269,http://www.gcr1.com/5010web/airport.cfm?Site=A32,41.887236,-121.975594,41-53-13.532N,41-53-14N,121-58-32.021W,41-53-14.1000N,121-58-32.1000W,121-58-32W
-13539325.7969,4555218.9706,31,BYRON AIRPORT,BYRON,C83,Byron,Contra Costa,Community,COMMUNITY-Recreation,Reliever,01356.5*A,4,Keith Freitas,kfrei@airport.cccounty.us,925-646-5722,http://www.gcr1.com/5010web/airport.cfm?Site=C83,37.828444,-121.625833,37-50-09.734N,37-50-10N,121-38-13.823W,37-49-42.4000N,121-37-33.0000W,121-38-14W
-13100900.2162,4043798.5203,32,CABLE AIRPORT,CABLE,CCB,Upland,San Bernardino,Regional,REGIONAL,Reliever,02385.*A,8,Stephen Dunn,Sdunn@cableairport.com,909-982-6021,http://www.gcr1.com/5010web/airport.cfm?Site=CCB,34.111611,-117.687389,34-06-41.546N,34-06-42N,117-41-15.323W,34-06-41.8000N,117-41-14.6000W,117-41-15W
-13430493.1835,4600087.7162,33,CALAVERAS CO./MAURY RASMUSSEN AIRPORT,CALAVERAS CO.,CPU,San Andreas,Calaveras,Community,COMMUNITY,General Aviation,02141.11*A,10,Kathy Zancanella,kz@mlode.com,209-736-2501,http://www.gcr1.com/5010web/airport.cfm?Site=CPU,38.146116,-120.648173,38-08-46.019N,38-08-46N,120-38-53.424W,38-08-46.0190N,120-38-53.4240W,120-38-53W
-12858884.8528,3851517.7312,34,CALEXICO INTERNATIONAL AIRPORT,CALEXICO INT'L,CXL,Calexico,Imperial,Community,COMMUNITY,General Aviation,01358.*A,11,David Dale,ddale@calexico.ca.gov,760-768-2160,http://www.gcr1.com/5010web/airport.cfm?Site=CXL,32.669503,-115.513328,32-40-10.212N,32-40-10N,115-30-47.981W,32-40-10.2120N,115-30-47.9810W,115-30-48W
-13137555.2756,4184454.4587,35,CALIFORNIA CITY MUNICIPAL AIRPORT,CALIFORNIA CITY MUNI,L71,California City,Kern,Community,COMMUNITY-Recreation,General Aviation,01360.*A,6,Robert King,airportmgr@californiacity.com,760-373-4867,http://www.gcr1.com/5010web/airport.cfm?Site=L71,35.15125,-118.016667,35-09-04.5000N,35-09-05N,118-01-00.0000W,35-09-04.5000N,118-01-00.0000W,118-01-00W
-13434487.6608,5073331.6198,36,CALIFORNIA PINES AIRPORT,CALIFORNIA PINES,A24,Alturas,Modoc,Limited Use,LIMITED USE,Not a NPIAS Facility,01234.12*A,2,Ron Sherer,calpinesgm@frontiernet.net,530-233-2766,http://www.gcr1.com/5010web/airport.cfm?Site=A24,41.412194,-120.684056,41-24-44.611N,41-24-45N,120-41-03.855W,41-24-43.9000N,120-41-02.6000W,120-41-04W
-13257523.6229,4057539.6676,37,CAMARILLO AIRPORT,CAMARILLO,CMA,Camarillo,Ventura,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01369.1*A,7,Jorge Rubio,Jorge.Rubio@ventura.org,805-388-4201,http://www.gcr1.com/5010web/airport.cfm?Site=CMA,34.21375,-119.094361,34-12-49.517N,34-12-50N,119-05-39.575W,34-12-49.5000N,119-05-39.7000W,119-05-40W
-13468270.0093,4676507.8344,38,CAMERON AIRPARK AIRPORT,CAMERON AIRPARK,O61,Cameron Park,El Dorado,Community,COMMUNITY,General Aviation,01369.8*A,3,Gary Millsaps,manager@cameronparkairport.com,530-676-8316,http://www.gcr1.com/5010web/airport.cfm?Site=O61,38.684,-120.987528,38-41-02.653N,38-41-03N,120-59-13.791W,38-41-02.4000N,120-59-15.1000W,120-59-14W
-13421589.9619,4492273.2013,39,CASTLE AIRPORT,CASTLE,MER,Merced,Merced,Regional,REGIONAL,General Aviation,01270.6*A,10,Scott Malta,smalta@countyofmerced.com,209-385-7686 x4180,http://www.gcr1.com/5010web/airport.cfm?Site=MER,37.380472,-120.568194,37-22-49.730N,37-22-50N,120-34-05.480W,37-22-49.7000N,120-34-05.5000W,120-34-05W
-13181983.107,3949184.7515,40,CATALINA AIRPORT,CATALINA,AVX,Avalon,Los Angeles,Community,COMMUNITY-Recreation,Not a NPIAS Facility,01276.*A,7,Justin Bellum,jbellum@catalinaconservancy.org,310-510-0143,http://www.gcr1.com/5010web/airport.cfm?Site=AVX,33.404997,-118.415769,33-24-17.800N,33-24-18N,118-24-57.100W,33-24-17.9900N,118-24-56.7700W,118-24-57W
-13376774.6274,5094345.311,41,CEDARVILLE AIRPORT,CEDARVILLE,O59,Cedarville,Modoc,Community,COMMUNITY,General Aviation,01384.*A,2,Mitch Crosby,mitchcrosby@co.modoc.ca.us,530-233-6412,http://www.gcr1.com/5010web/airport.cfm?Site=O59,41.553611,-120.165611,41-33-09.617N,41-33-10N,120-09-58.802W,41-33-13.0000N,120-09-56.2000W,120-09-59W
-13671466.7079,4651580.527,42,"CHARLES M. SCHULZ, SONOMA COUNTY AIRPORT",CHARLES M. SCHULZ -139,STS,Santa Rosa,Sonoma,Commercial/Primary,PRIMARY-NON-HUB-REGIONAL-Business/Corporate,Commercial Service Primar,02260.*A,4,Jon Stout,jstout@sonomacountyairport.org,707-565-7243,http://www.gcr1.com/5010web/airport.cfm?Site=STS,38.508989,-122.812875,38-30-32.317N,38-30-32N,122-48-46.369W,38-30-32.3605N,122-48-46.3503W,122-48-46W
-12738521.21,4100053.1364,43,CHEMEHUEVI VALLEY AIRPORT,CHEMEHUEVI VALLEY,49X,Acampo,San Bernardino,Limited Use,LIMITED USE,General Aviation,01390.*A,8,William Cox,tribe@citlink.net,760-858-1116,http://www.gcr1.com/5010web/airport.cfm?Site=49X,34.528972,-114.432083,34-31-44.3000N,34-31-44N,114-25-55.5000W,34-31-44.0000N,114-25-55.1000W,114-25-56W
-13565216.9293,4836253.1637,44,CHICO MUNICIPAL,CHICO MUNI -139i,CIC,Chico,Butte,Regional,REGIONAL-Business/Corporate,General Aviation,01395.*A,3,Sherry Miller,Sherry.Miller@chicoca.gov,530-896-7216,http://www.gcr1.com/5010web/airport.cfm?Site=CIC,39.795389,-121.858417,39-47-43.378N,39-47-43N,121-51-30.323W,39-47-43.4000N,121-51-30.3000W,121-51-30W
-13095233.3863,4025415.9646,45,CHINO AIRPORT,CHINO,CNO,Chino,San Bernardino,Regional,REGIONAL-Business/Corporate,Reliever,01398.*A,8,Maureen Snelgrove,Maureen.Snelgrove@airports.sbcounty.gov,909-387-2591,http://www.gcr1.com/5010web/airport.cfm?Site=CNO,33.974779,-117.636483,33-58-28.900N,33-58-29N,117-38-11.800W,33-58-29.2055N,117-38-11.3382W,117-38-12W
-12880778.2796,3983893.0766,46,CHIRIACO SUMMIT AIRPORT,CHIRIACO SUMMIT,L77,Chiriaco Summit,Riverside,Limited Use,LIMITED USE,Not a NPIAS Facility,01399.*A,8,Liliana Valle,lvalle@rivco.org,951-955-9418,http://www.gcr1.com/5010web/airport.cfm?Site=L77,33.664889,-115.71,33-39-55.071N,33-39-55N,115-42-37.964W,33-39-53.6000N,115-42-36.0000W,115-42-38W
-13385828.5755,4454908.0634,47,CHOWCHILLA AIRPORT,CHOWCHILLA,2O6,Chowchilla,Madera,Community,COMMUNITY,General Aviation,01400.5*A,6,Jason Rogers,jrogers@cityofchowchilla.org,559-665-8615 x300,http://www.gcr1.com/5010web/airport.cfm?Site=2O6,37.113278,-120.246944,37-06-44.799N,37-06-45N,120-14-48.626W,37-06-47.8000N,120-14-49.2000W,120-14-49W
-12859782.1992,3912749.2253,48,CLIFF HATFIELD MEMORIAL AIRPORT,CLIFF HATFIELD MEMORIAL,CLR,Calipatria,Imperial,Community,COMMUNITY-Agriculture,Not a NPIAS Facility,01363.*A,11,Chris Hall,c_hall@calipatria.com,760-348-4144,http://www.gcr1.com/5010web/airport.cfm?Site=CLR,33.131333,-115.521389,33-07-52.8000N,33-07-53N,115-31-17.0000W,33-07-52.8000N,115-31-17.0000W,115-31-17W
-13691453.2318,4689631.9556,49,CLOVERDALE MUNICIPAL AIRPORT,CLOVERDALE MUNI,O60,Cloverdale,Sonoma,Community,COMMUNITY,General Aviation,01411.1*A,4,Michael Morrissey,manager@cloverdaleairport.com,707-694-9355,http://www.gcr1.com/5010web/airport.cfm?Site=O60,38.775971,-122.992417,38-46-27.669N,38-46-28N,122-59-31.998W,38-46-33.4973N,122-59-32.6997W,122-59-32W
-13404486.8353,4583725.161,50,COLUMBIA AIRPORT,COLUMBIA,O22,Columbia,Tuolumne,Regional,REGIONAL-Recreation,General Aviation,01429.*A,10,Benedict Stuth,BStuth@co.tuolumne.ca.us,209-533-6684,http://www.gcr1.com/5010web/airport.cfm?Site=O22,38.030428,-120.414554,38-01-49.542N,38-01-50N,120-24-52.395W,38-01-49.5416N,120-24-52.3938W,120-24-52W
-13580236.155,4747344.4603,51,COLUSA COUNTY AIRPORT,COLUSA COUNTY,O08,Colusa,Colusa,Community,COMMUNITY,General Aviation,01431.1*A,3,Renee McCormick,rmccormick@countyofcolusa.org,530-713-3133,http://www.gcr1.com/5010web/airport.cfm?Site=O08,39.179001,-121.993337,39-10-44.508N,39-10-45N,121-59-36.100W,39-10-44.4019N,121-59-36.0124W,121-59-36W
-13162826.5811,4014043.4055,52,COMPTON/WOODLEY AIRPORT,COMPTON WOODLEY,CPM,Compton,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01434.*A,7,Richard Smith,rsmith@dpw.lacounty.gov,626-300-4602,http://www.gcr1.com/5010web/airport.cfm?Site=CPM,33.890016,-118.243683,33-53-24.058N,33-53-24N,118-14-37.259W,33-53-23.7000N,118-14-37.7000W,118-14-37W
-13600028.9832,4857755.4296,53,CORNING MUNICIPAL AIRPORT,CORNING MUNI,0O4,Corning,Tehama,Community,COMMUNITY,General Aviation,01443.*A,2,Dawn Grine,dgrine@corning.org,530-824-7025,http://www.gcr1.com/5010web/airport.cfm?Site=0O4,39.943639,-122.171139,39-56-37.565N,39-56-38N,122-10-16.961W,39-56-37.1000N,122-10-16.1000W,122-10-17W
-13091443.7368,4015067.7239,54,CORONA MUNICIPAL AIRPORT,CORONA MUNI,AJO,Corona,Riverside,Regional,REGIONAL-Recreation,General Aviation,01447.3*A,8,Curtiss Showalter,Curtis.Showalter@CoronaCA.Gov,951-279-3677,http://www.gcr1.com/5010web/airport.cfm?Site=AJO,33.897654,-117.60244,33-53-51.554N,33-53-52N,117-36-08.784W,33-53-51.5547N,117-36-08.7831W,117-36-09W
-13273346.9092,4265669.9447,55,DELANO MUNICIPAL AIRPORT,DELANO MUNI,DLO,Delano,Kern,Regional,REGIONAL,General Aviation,01497.*A,6,Roman Dowling,rdowling@cityofdelano.org,661-720-2219,http://www.gcr1.com/5010web/airport.cfm?Site=DLO,35.745581,-119.236504,35-44-44.090N,35-44-44N,119-14-11.414W,35-44-44.0000N,119-14-11.4000W,119-14-11W
-13758891.136,4937702.1857,56,DINSMORE AIRPORT,DINSMORE,D63,Dinsmore,Humboldt,Limited Use,LIMITED USE-Firefighting,General Aviation,01508.*A,1,Cody Roggatz,croggatz@co.humboldt.ca.us,707-839-5402,http://www.gcr1.com/5010web/airport.cfm?Site=D63,40.492028,-123.598222,40-29-34.510N,40-29-35N,123-35-59.132W,40-29-31.3000N,123-35-53.6000W,123-35-59W
-13611269.1347,5051220.1354,57,DUNSMUIR MUNI-MOTT AIRPORT,DUNSMUIR MUNI,1O6,Dunsmuir,Siskiyou,Community,COMMUNITY,General Aviation,01521.*A,2,Bill Willman,admin@ci.dunsmuir.ca.us,530-235-4437,http://www.gcr1.com/5010web/airport.cfm?Site=1O6,41.263056,-122.272111,41-15-47.552N,41-15-48N,122-16-19.030W,41-15-47.0000N,122-16-19.6000W,122-16-19W
-13252656.5121,4322988.9153,58,ECKERT FIELD AIRPORT,ECKERT FIELD,1Q1,Strathmore,Tulare,Community,COMMUNITY-Recreation,Not a NPIAS Facility,02321.*A,6,Dick Schutze,kschutze@sbcglobal.net,805-798-4775,http://www.gcr1.com/5010web/airport.cfm?Site=1Q1,36.162389,-119.050639,36-09-44.6000N,36-09-45N,119-03-02.3000W,36-09-44.6000N,119-03-02.3000W,119-03-02W
-13300421.8131,4212017.1121,59,ELK HILLS-BUTTONWILLOW AIRPORT,ELK HILLS-BUTTONWILLOW,L62,Buttonwillow,Kern,Limited Use,LIMITED USE,Not a NPIAS Facility,01356.1*A,6,Ron Brewster,brewsterr@kerncounty.com,661-391-1824,http://www.gcr1.com/5010web/airport.cfm?Site=L62,35.353444,-119.479722,35-21-09.864N,35-21-10N,119-28-43.425W,35-21-12.4000N,119-28-47.0000W,119-28-43W
-13263683.2643,4334036.6421,60,EXETER,EXETER,O63,Exeter,Tulare,Community,COMMUNITY,Not a NPIAS Facility,01561.9*A,6,James Costa,costaspraying@yahoo.com,559-686-3559,http://www.gcr1.com/5010web/airport.cfm?Site=O63,36.242472,-119.149694,36-14-34.822N,36-14-35N,119-08-58.385W,36-14-32.9000N,119-08-58.9000W,119-08-58W
-13517894.6799,5015111.219,61,FALL RIVER MILLS AIRPORT,FALL RIVER MILLS,O89,Fall River Mills,Shasta,Community,COMMUNITY,General Aviation,01569.*A,2,Neil McAuliffe,nmcauliffe@co.shasta.ca.us,530-245-6844,http://www.gcr1.com/5010web/airport.cfm?Site=O89,41.018774,-121.433314,41-01-07.587N,41-01-08N,121-25-59.929W,41-01-02.5000N,121-26-05.9000W,121-26-00W
-13052307.0321,3942412.7487,62,FALLBROOK COMMUNITY AIRPARK,FALLBROOK COMMUNITY AIRPARK,L18,Fallbrook,San Diego,Community,COMMUNITY,General Aviation,01568.5*A,11,Meadow Chase,mkchase6@gmail.com,760-788-3366,http://www.gcr1.com/5010web/airport.cfm?Site=L18,33.354198,-117.250869,33-21-15.113N,33-21-15N,117-15-03.127W,33-21-15.1130N,117-15-03.1270W,117-15-03W
-13410043.2365,4419608.9865,63,FIREBAUGH AIRPORT,FIREBAUGH,F34,Mendota,Fresno,Community,COMMUNITY-Agriculture,General Aviation,01570.41*A,6,Ben Gallegos,citymanager@ci.firebaugh.ca.us,559-659-2043,http://www.gcr1.com/5010web/airport.cfm?Site=F34,36.859989,-120.464468,36-51-35.959N,36-51-36N,120-27-52.083W,36-51-35.9590N,120-27-52.0830W,120-27-52W
